match_url,game_links
https://gol.gg/game/stats/67429/page-summary/,"['https://gol.gg/game/stats/67429/page-game/', 'https://gol.gg/game/stats/67430/page-game/']"
https://gol.gg/game/stats/67426/page-summary/,"['https://gol.gg/game/stats/67426/page-game/', 'https://gol.gg/game/stats/67427/page-game/', 'https://gol.gg/game/stats/67428/page-game/']"
https://gol.gg/game/stats/67009/page-summary/,"['https://gol.gg/game/stats/67009/page-game/', 'https://gol.gg/game/stats/67010/page-game/', 'https://gol.gg/game/stats/67011/page-game/']"
https://gol.gg/game/stats/67006/page-summary/,"['https://gol.gg/game/stats/67006/page-game/', 'https://gol.gg/game/stats/67007/page-game/']"
https://gol.gg/game/stats/67003/page-summary/,"['https://gol.gg/game/stats/67003/page-game/', 'https://gol.gg/game/stats/67004/page-game/']"
https://gol.gg/game/stats/67000/page-summary/,"['https://gol.gg/game/stats/67000/page-game/', 'https://gol.gg/game/stats/67001/page-game/']"
https://gol.gg/game/stats/66997/page-summary/,"['https://gol.gg/game/stats/66997/page-game/', 'https://gol.gg/game/stats/66998/page-game/']"
https://gol.gg/game/stats/66994/page-summary/,"['https://gol.gg/game/stats/66994/page-game/', 'https://gol.gg/game/stats/66995/page-game/']"
https://gol.gg/game/stats/66991/page-summary/,"['https://gol.gg/game/stats/66991/page-game/', 'https://gol.gg/game/stats/66992/page-game/', 'https://gol.gg/game/stats/66993/page-game/']"
https://gol.gg/game/stats/66988/page-summary/,"['https://gol.gg/game/stats/66988/page-game/', 'https://gol.gg/game/stats/66989/page-game/']"
https://gol.gg/game/stats/66985/page-summary/,"['https://gol.gg/game/stats/66985/page-game/', 'https://gol.gg/game/stats/66986/page-game/']"
https://gol.gg/game/stats/66982/page-summary/,"['https://gol.gg/game/stats/66982/page-game/', 'https://gol.gg/game/stats/66983/page-game/', 'https://gol.gg/game/stats/66984/page-game/']"
https://gol.gg/game/stats/66611/page-summary/,"['https://gol.gg/game/stats/66611/page-game/', 'https://gol.gg/game/stats/66612/page-game/', 'https://gol.gg/game/stats/66613/page-game/']"
https://gol.gg/game/stats/66608/page-summary/,"['https://gol.gg/game/stats/66608/page-game/', 'https://gol.gg/game/stats/66609/page-game/', 'https://gol.gg/game/stats/66610/page-game/']"
https://gol.gg/game/stats/66605/page-summary/,"['https://gol.gg/game/stats/66605/page-game/', 'https://gol.gg/game/stats/66606/page-game/']"
https://gol.gg/game/stats/66602/page-summary/,"['https://gol.gg/game/stats/66602/page-game/', 'https://gol.gg/game/stats/66603/page-game/', 'https://gol.gg/game/stats/66604/page-game/']"
https://gol.gg/game/stats/66599/page-summary/,"['https://gol.gg/game/stats/66599/page-game/', 'https://gol.gg/game/stats/66600/page-game/', 'https://gol.gg/game/stats/66601/page-game/']"
https://gol.gg/game/stats/66596/page-summary/,"['https://gol.gg/game/stats/66596/page-game/', 'https://gol.gg/game/stats/66597/page-game/']"
https://gol.gg/game/stats/66593/page-summary/,"['https://gol.gg/game/stats/66593/page-game/', 'https://gol.gg/game/stats/66594/page-game/']"
https://gol.gg/game/stats/66590/page-summary/,"['https://gol.gg/game/stats/66590/page-game/', 'https://gol.gg/game/stats/66591/page-game/']"
https://gol.gg/game/stats/66587/page-summary/,"['https://gol.gg/game/stats/66587/page-game/', 'https://gol.gg/game/stats/66588/page-game/']"
https://gol.gg/game/stats/66584/page-summary/,"['https://gol.gg/game/stats/66584/page-game/', 'https://gol.gg/game/stats/66585/page-game/']"
https://gol.gg/game/stats/66223/page-summary/,"['https://gol.gg/game/stats/66223/page-game/', 'https://gol.gg/game/stats/66224/page-game/']"
https://gol.gg/game/stats/66220/page-summary/,"['https://gol.gg/game/stats/66220/page-game/', 'https://gol.gg/game/stats/66221/page-game/', 'https://gol.gg/game/stats/66222/page-game/']"
